Identifier,ARN,Resource type,Region,AWS Account,LastReportedAt,Service,Tags,Tag:shared_costs,Tag:workspace,Tag:Product,Tag:for-use-with-amazon-emr-managed-policies,Tag:Naming,Tag:Name,Tag:Cost Center,Tag:environment,Tag:APM_functional,Tag:service,Tag:CIA,Tag:aws:elasticmapreduce:job-flow-id,Tag:aws:elasticmapreduce:instance-group-role,Tag:sagemaker:project-name,Tag:sagemaker:user-profile-arn,Tag:sagemaker:domain-arn,Tag:sagemaker:project-id,Tag:aws:servicecatalog:productArn,Tag:aws:servicecatalog:provisioningPrincipalArn,Tag:aws:servicecatalog:provisioningArtifactIdentifier,Tag:aws:servicecatalog:portfolioArn,Tag:aws:servicecatalog:provisionedProductArn,Tag:sagemaker:pipeline-step-name,Tag:sagemaker:pipeline-execution-arn,Tag:type_policy,Tag:ManagedByAmazonSageMakerResource,Tag:Description,Tag:InstanceConnectEndpointId
vol-0b2f800f8d049398a,arn:aws:ec2:us-east-1:954519111599:volume/vol-0b2f800f8d049398a,ec2:volume,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0fe04825dfa1fed3e,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0fe04825dfa1fed3e,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memorydb-redis7.search.preview,arn:aws:memorydb:eu-west-1:954519111599:parametergroup/default.memorydb-redis7.search.preview,memorydb:parametergroup,eu-west-1,954519111599,2024-02-23T17:36:16Z,memorydb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
backupRestore_policy,arn:aws:iam::954519111599:policy/backupRestore_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
SC-954519111599-pp-wm5t6p7x2qj74/ea71a950-d007-11ee-ab12-0a2b0143cc21,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-wm5t6p7x2qj74/ea71a950-d007-11ee-ab12-0a2b0143cc21,cloudformation:stack,us-east-1,954519111599,2024-02-20T15:51:32Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-b91d38c6-0550-4b24,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-3,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-gkegfqffaxdo,arn:aws:catalog:us-east-1:954519111599:product/prod-zx4ict6ker4w6,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-te43n25fhsnfe,arn:aws:catalog:us-east-1:954519111599:portfolio/port-265opcpfijpiy,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-b91d38c6-0550-4b24-p-gkegfqffaxdo/pp-wm5t6p7x2qj74,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
SC-954519111599-pp-tenssuix4pnjq/54290d60-cad7-11ee-9d3e-0e9fb2d5219f,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-tenssuix4pnjq/54290d60-cad7-11ee-9d3e-0e9fb2d5219f,cloudformation:stack,us-east-1,954519111599,2024-02-14T01:21:08Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-da9cb7a3-5051-47eb,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-4,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-urznh0vhbbus,arn:aws:catalog:us-east-1:954519111599:product/prod-zx4ict6ker4w6,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-p36sxp6drl2ba,arn:aws:catalog:us-east-1:954519111599:portfolio/port-265opcpfijpiy,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-da9cb7a3-5051-47eb-p-urznh0vhbbus/pp-tenssuix4pnjq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
mexd1ae1accmchinelops002_S3_SagerMaker,arn:aws:iam::954519111599:user/mexd1ae1accmchinelops002_S3_SagerMaker,iam:user,global,954519111599,2024-02-23T17:41:22Z,iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-02c1e042c92cb0264,arn:aws:ec2:us-east-1:954519111599:volume/vol-02c1e042c92cb0264,ec2:volume,us-east-1,954519111599,2024-02-23T15:42:26Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,MASTER,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0e2308b78e57a5415,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0e2308b78e57a5415,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-050f3f743e179315e,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-050f3f743e179315e,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-05a0778fabb7856be,arn:aws:ec2:us-east-1:954519111599:volume/vol-05a0778fabb7856be,ec2:volume,us-east-1,954519111599,2024-02-23T15:42:27Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-121g8syx1yyc-na-createmodel-model-mdnxkbbuyb,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-121g8syx1yyc-na-createmodel-model-mdnxkbbuyb,sagemaker:model,us-east-1,954519111599,2024-02-14T18:36:41Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloFinal-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/121g8syx1yyc,(not tagged),(not tagged),(not tagged),(not tagged)
b1641d54-eac6-4795-95f5-a7aaa13db8d3,arn:aws:resource-explorer-2:ap-southeast-1:954519111599:index/b1641d54-eac6-4795-95f5-a7aaa13db8d3,resource-explorer-2:index,ap-southeast-1,954519111599,2024-02-23T17:30:16Z,resource-explorer-2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis7,arn:aws:elasticache:eu-west-2:954519111599:parametergroup:default.redis7,elasticache:parametergroup,eu-west-2,954519111599,2024-02-23T17:33:52Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-k5fsxkpskef9-na-createmodel-model-we5y7cojvj,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-k5fsxkpskef9-na-createmodel-model-we5y7cojvj,sagemaker:model,us-east-1,954519111599,2024-02-14T15:00:03Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloBase-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/k5fsxkpskef9,(not tagged),(not tagged),(not tagged),(not tagged)
152cb71f-59b3-4327-b169-ffd5792b394f,arn:aws:resource-explorer-2:ap-southeast-2:954519111599:index/152cb71f-59b3-4327-b169-ffd5792b394f,resource-explorer-2:index,ap-southeast-2,954519111599,2024-02-23T17:28:49Z,resource-explorer-2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memorydb-redis6,arn:aws:memorydb:ap-southeast-2:954519111599:parametergroup/default.memorydb-redis6,memorydb:parametergroup,ap-southeast-2,954519111599,2024-02-23T17:40:04Z,memorydb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memcached1.4,arn:aws:elasticache:ap-northeast-1:954519111599:parametergroup:default.memcached1.4,elasticache:parametergroup,ap-northeast-1,954519111599,2024-02-23T17:36:28Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-06f0e535dc4e4ccad,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-06f0e535dc4e4ccad,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
